epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,639.384,1.56349,7.92257,0.01028,0.70837,0.67994,0.71479,0.35629,1.68729,1.6917,0.01374,0.00041498,0.00041498,0.00041498
2,1266.91,1.62838,1.44905,0.0116,0.70983,0.64881,0.69525,0.34617,1.72825,1.40128,0.01423,0.00079048,0.00079048,0.00079048
3,1903.11,1.66233,1.34857,0.01209,0.68259,0.55878,0.61422,0.30835,1.81746,1.74502,0.01628,0.00112473,0.00112473,0.00112473
4,630.165,1.63291,1.27759,0.01174,0.77623,0.72967,0.80617,0.42584,1.60651,1.11538,0.01261,0.00106437,0.00106437,0.00106437
5,1246.15,1.56781,1.13412,0.01112,0.83538,0.76741,0.85026,0.4855,1.5069,0.89266,0.01176,0.0010025,0.0010025,0.0010025
6,1862.19,1.5119,1.03628,0.01049,0.84738,0.80107,0.87768,0.50391,1.49868,0.80761,0.01121,0.000940625,0.000940625,0.000940625
7,2491.62,1.49801,0.9724,0.01012,0.86387,0.80988,0.8912,0.52123,1.44683,0.73181,0.0107,0.00087875,0.00087875,0.00087875
8,3119.8,1.45089,0.93051,0.00983,0.87877,0.85555,0.91304,0.54847,1.39744,0.69409,0.01033,0.000816875,0.000816875,0.000816875
9,611.075,1.41033,0.86156,0.00937,0.8803,0.86022,0.91128,0.5484,1.40163,0.66239,0.00966,0.000755,0.000755,0.000755
10,1223.85,1.3853,0.81333,0.00922,0.8998,0.88071,0.93331,0.58532,1.32532,0.60716,0.00908,0.000693125,0.000693125,0.000693125
11,1837.86,1.35454,0.63429,0.01022,0.90051,0.88071,0.93206,0.57551,1.34741,0.59476,0.0094,0.00063125,0.00063125,0.00063125
12,2456.14,1.31714,0.60422,0.00969,0.90062,0.88835,0.9387,0.59681,1.30723,0.58102,0.00874,0.000569375,0.000569375,0.000569375
13,3073.01,1.28091,0.56168,0.00926,0.9097,0.88352,0.93868,0.59393,1.30084,0.57387,0.00858,0.0005075,0.0005075,0.0005075
14,3683.29,1.26418,0.54202,0.009,0.90694,0.89994,0.94444,0.61437,1.25273,0.53957,0.00804,0.000445625,0.000445625,0.000445625
15,4292.81,1.23039,0.50725,0.00865,0.92485,0.90306,0.94984,0.62033,1.25465,0.51503,0.00819,0.00038375,0.00038375,0.00038375
16,4903.19,1.2041,0.48715,0.00833,0.92992,0.9033,0.95156,0.63059,1.21959,0.50922,0.00778,0.000321875,0.000321875,0.000321875
17,5515.37,1.18326,0.47423,0.00802,0.92717,0.91616,0.95702,0.63973,1.20048,0.49114,0.00763,0.00026,0.00026,0.00026
18,6127.71,1.15818,0.45137,0.00779,0.92996,0.91611,0.95851,0.64027,1.19597,0.47489,0.00752,0.000198125,0.000198125,0.000198125
19,6742.01,1.13666,0.44342,0.00753,0.93626,0.91641,0.96076,0.65229,1.17473,0.47118,0.00736,0.00013625,0.00013625,0.00013625
20,7364.59,1.12006,0.4278,0.00731,0.93105,0.92298,0.96096,0.65275,1.16595,0.46397,0.00723,7.4375e-05,7.4375e-05,7.4375e-05
21,620.054,1.2327,0.66058,0.0077,0.93067,0.91044,0.95613,0.63702,1.21022,0.48121,0.00754,0.000413306,0.000413306,0.000413306
22,1242.43,1.2453,0.65233,0.00788,0.92309,0.89622,0.94537,0.59972,1.31466,0.54522,0.00871,0.000819702,0.000819702,0.000819702
23,1865.83,1.33009,0.73637,0.00866,0.87957,0.83992,0.89626,0.55045,1.39541,0.66924,0.01013,0.00121579,0.00121579,0.00121579
24,2487.29,1.35615,0.77457,0.0088,0.9034,0.87086,0.92857,0.57025,1.37193,0.59484,0.00985,0.00120359,0.00120359,0.00120359
25,3115.81,1.34815,0.76017,0.0088,0.907,0.87641,0.9286,0.57905,1.32964,0.58843,0.00898,0.00118812,0.00118812,0.00118812
26,3748.93,1.36014,0.78644,0.00878,0.90202,0.87956,0.93532,0.58639,1.32494,0.5682,0.00875,0.00117266,0.00117266,0.00117266
27,631.216,1.32779,0.73453,0.00858,0.91672,0.89135,0.93944,0.58771,1.33234,0.55328,0.00895,0.00115719,0.00115719,0.00115719
28,1270.39,1.30423,0.70499,0.00846,0.89346,0.849,0.91955,0.56161,1.37052,0.66853,0.00931,0.00114172,0.00114172,0.00114172
29,1906.49,1.30419,0.70877,0.00843,0.91798,0.88145,0.93966,0.60112,1.3046,0.54595,0.00878,0.00112625,0.00112625,0.00112625
30,2547.33,1.30133,0.68505,0.00825,0.92443,0.89714,0.94645,0.60761,1.2836,0.52201,0.00844,0.00111078,0.00111078,0.00111078
31,3185.58,1.28873,0.6743,0.00829,0.91164,0.90678,0.9476,0.61076,1.27974,0.52144,0.00847,0.00109531,0.00109531,0.00109531
32,3819.07,1.29617,0.69663,0.00827,0.90021,0.87698,0.93552,0.61043,1.2655,0.55158,0.00814,0.00107984,0.00107984,0.00107984
33,4488.94,1.30346,0.72671,0.00847,0.91998,0.88904,0.9439,0.60672,1.29324,0.53632,0.00856,0.00106437,0.00106437,0.00106437
34,5127,1.29601,0.69831,0.00834,0.91988,0.90141,0.94745,0.61477,1.27047,0.52845,0.00826,0.00104891,0.00104891,0.00104891
35,5765.32,1.29277,0.68614,0.00823,0.91219,0.8865,0.93683,0.60747,1.2742,0.54694,0.00844,0.00103344,0.00103344,0.00103344
36,6405.75,1.29097,0.68165,0.00836,0.93098,0.8927,0.9461,0.59719,1.3119,0.52707,0.00863,0.00101797,0.00101797,0.00101797
37,7049.82,1.28183,0.67155,0.00805,0.9391,0.89854,0.95315,0.62079,1.25988,0.51204,0.00822,0.0010025,0.0010025,0.0010025
